Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Overall,2023/24,23.3
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Overall,2023/24,23
Drug-taking students,Play in friends’ and relatives’ home,Overall,2023/24,21.8
Drug-taking students,Read comics,Overall,2023/24,16.8
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Overall,2023/24,11.6
Drug-taking students,Go to cyber cafes / electronic games centres,Overall,2023/24,9.8
Drug-taking students,Participate in voluntary work,Overall,2023/24,8.9
Drug-taking students,Participate in church / religious activities,Overall,2023/24,8.6
Drug-taking students,Others,Overall,2023/24,7
Non-drug-taking students,Chat with friends,Overall,2023/24,67.8
Non-drug-taking students,Play electronic games at home ,Overall,2023/24,60.2
Non-drug-taking students,Surf the Internet,Overall,2023/24,52.6
Non-drug-taking students,Watch TV / listen to the radio or music,Overall,2023/24,51.5
Non-drug-taking students,Hang around at home / sleep ,Overall,2023/24,50.4
Non-drug-taking students,Chat / play with family,Overall,2023/24,42.1
Non-drug-taking students,Watch movies,Overall,2023/24,37.7
Non-drug-taking students,Shopping / wander on streets,Overall,2023/24,36.9
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Overall,2023/24,36.7
Non-drug-taking students,Read books,Overall,2023/24,30.7
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Overall,2023/24,28.6
Non-drug-taking students,Read comics,Overall,2023/24,24.4
Non-drug-taking students,Play in friends’ and relatives’ home,Overall,2023/24,17.8
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Overall,2023/24,15.7
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Overall,2023/24,7.9
Non-drug-taking students,Participate in voluntary work,Overall,2023/24,7.2
Non-drug-taking students,Participate in church / religious activities,Overall,2023/24,5.8
Non-drug-taking students,Go to cyber cafes / electronic games centres,Overall,2023/24,3.1
Non-drug-taking students,Others,Overall,2023/24,2.7
All students,Chat with friends,Upper Primary,2020/21,60.8
All students,Play electronic games at home ,Upper Primary,2020/21,70.7
All students,Surf the Internet,Upper Primary,2020/21,47
All students,Watch TV / listen to the radio or music,Upper Primary,2020/21,62.9
All students,Hang around at home / sleep ,Upper Primary,2020/21,31.4
All students,Chat / play with family,Upper Primary,2020/21,50
All students,Watch movies,Upper Primary,2020/21,29
All students,Shopping / wander on streets,Upper Primary,2020/21,24.7
All students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2020/21,32
All students,Read books,Upper Primary,2020/21,41.3
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2020/21,34.5
All students,Read comics,Upper Primary,2020/21,31.9
All students,Play in friends’ and relatives’ home,Upper Primary,2020/21,22.7
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2020/21,14.3
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2020/21,2.1
All students,Participate in voluntary work,Upper Primary,2020/21,4.5
All students,Participate in church / religious activities,Upper Primary,2020/21,6.2
