Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
All students,Hang around at home / sleep ,Post-secondary,2023/24,55.1
All students,Chat / play with family,Post-secondary,2023/24,39.8
All students,Watch movies,Post-secondary,2023/24,44
All students,Shopping / wander on streets,Post-secondary,2023/24,45
All students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2023/24,37.3
All students,Read books,Post-secondary,2023/24,30.5
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2023/24,20.7
All students,Read comics,Post-secondary,2023/24,22.4
All students,Play in friends’ and relatives’ home,Post-secondary,2023/24,13.7
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2023/24,13.1
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2023/24,13.8
All students,Participate in voluntary work,Post-secondary,2023/24,10.4
All students,Participate in church / religious activities,Post-secondary,2023/24,6
All students,Go to cyber cafes / electronic games centres,Post-secondary,2023/24,3.2
All students,Others,Post-secondary,2023/24,1.9
Drug-taking students,Chat with friends,Post-secondary,2023/24,65.1
Drug-taking students,Play electronic games at home ,Post-secondary,2023/24,41.8
Drug-taking students,Watch movies,Post-secondary,2023/24,56.9
Drug-taking students,Hang around at home / sleep ,Post-secondary,2023/24,55.2
Drug-taking students,Surf the Internet,Post-secondary,2023/24,58.3
Drug-taking students,Watch TV / listen to the radio or music,Post-secondary,2023/24,48.4
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2023/24,49.8
Drug-taking students,Shopping / wander on streets,Post-secondary,2023/24,47.2
Drug-taking students,Chat / play with family,Post-secondary,2023/24,36.6
Drug-taking students,Read books,Post-secondary,2023/24,37.8
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2023/24,37.5
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2023/24,23.2
Drug-taking students,Play in friends’ and relatives’ home,Post-secondary,2023/24,24.1
Drug-taking students,Read comics,Post-secondary,2023/24,16.8
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2023/24,14.9
Drug-taking students,Go to cyber cafes / electronic games centres,Post-secondary,2023/24,10.6
Drug-taking students,Participate in voluntary work,Post-secondary,2023/24,15.2
Drug-taking students,Participate in church / religious activities,Post-secondary,2023/24,11.3
Drug-taking students,Others,Post-secondary,2023/24,5.8
Non-drug-taking students,Chat with friends,Post-secondary,2023/24,67
Non-drug-taking students,Play electronic games at home ,Post-secondary,2023/24,44.8
Non-drug-taking students,Surf the Internet,Post-secondary,2023/24,56.4
Non-drug-taking students,Watch TV / listen to the radio or music,Post-secondary,2023/24,44.6
Non-drug-taking students,Hang around at home / sleep ,Post-secondary,2023/24,55.1
Non-drug-taking students,Chat / play with family,Post-secondary,2023/24,39.9
Non-drug-taking students,Watch movies,Post-secondary,2023/24,43.6
Non-drug-taking students,Shopping / wander on streets,Post-secondary,2023/24,45
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2023/24,36.9
Non-drug-taking students,Read books,Post-secondary,2023/24,30.3
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2023/24,20.6
Non-drug-taking students,Read comics,Post-secondary,2023/24,22.6
Non-drug-taking students,Play in friends’ and relatives’ home,Post-secondary,2023/24,13.4
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2023/24,13.1
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2023/24,13
Non-drug-taking students,Participate in voluntary work,Post-secondary,2023/24,10.3
Non-drug-taking students,Participate in church / religious activities,Post-secondary,2023/24,5.9
Non-drug-taking students,Go to cyber cafes / electronic games centres,Post-secondary,2023/24,2.9
Non-drug-taking students,Others,Post-secondary,2023/24,1.8
